realtime_start,realtime_end,date,value
2024-06-27,2024-06-27,2010-01-01,14764.61
2024-06-27,2024-06-27,2010-04-01,14980.193
2024-06-27,2024-06-27,2010-07-01,15141.607
2024-06-27,2024-06-27,2010-10-01,15309.474
2024-06-27,2024-06-27,2011-01-01,15351.448
2024-06-27,2024-06-27,2011-04-01,15557.539
2024-06-27,2024-06-27,2011-07-01,15647.68
2024-06-27,2024-06-27,2011-10-01,15842.259
2024-06-27,2024-06-27,2012-01-01,16068.805
2024-06-27,2024-06-27,2012-04-01,16207.115
2024-06-27,2024-06-27,2012-07-01,16319.541
2024-06-27,2024-06-27,2012-10-01,16420.419
2024-06-27,2024-06-27,2013-01-01,16648.189
2024-06-27,2024-06-27,2013-04-01,16728.687
2024-06-27,2024-06-27,2013-07-01,16953.838
2024-06-27,2024-06-27,2013-10-01,17192.019
2024-06-27,2024-06-27,2014-01-01,17197.738
2024-06-27,2024-06-27,2014-04-01,17518.508
2024-06-27,2024-06-27,2014-07-01,17804.228
2024-06-27,2024-06-27,2014-10-01,17912.079
2024-06-27,2024-06-27,2015-01-01,18063.529
2024-06-27,2024-06-27,2015-04-01,18279.784
2024-06-27,2024-06-27,2015-07-01,18401.626
2024-06-27,2024-06-27,2015-10-01,18435.137
2024-06-27,2024-06-27,2016-01-01,18525.933
2024-06-27,2024-06-27,2016-04-01,18711.702
2024-06-27,2024-06-27,2016-07-01,18892.639
2024-06-27,2024-06-27,2016-10-01,19089.379
2024-06-27,2024-06-27,2017-01-01,19280.084
2024-06-27,2024-06-27,2017-04-01,19438.643
2024-06-27,2024-06-27,2017-07-01,19692.595
2024-06-27,2024-06-27,2017-10-01,20037.088
2024-06-27,2024-06-27,2018-01-01,20328.553
2024-06-27,2024-06-27,2018-04-01,20580.912
2024-06-27,2024-06-27,2018-07-01,20798.73
2024-06-27,2024-06-27,2018-10-01,20917.867
2024-06-27,2024-06-27,2019-01-01,21104.133
2024-06-27,2024-06-27,2019-04-01,21384.775
2024-06-27,2024-06-27,2019-07-01,21694.282
2024-06-27,2024-06-27,2019-10-01,21902.39
2024-06-27,2024-06-27,2020-01-01,21706.513
2024-06-27,2024-06-27,2020-04-01,19913.143
2024-06-27,2024-06-27,2020-07-01,21647.64
2024-06-27,2024-06-27,2020-10-01,22024.502
2024-06-27,2024-06-27,2021-01-01,22600.185
2024-06-27,2024-06-27,2021-04-01,23292.362
2024-06-27,2024-06-27,2021-07-01,23828.973
2024-06-27,2024-06-27,2021-10-01,24654.603
2024-06-27,2024-06-27,2022-01-01,25029.116
2024-06-27,2024-06-27,2022-04-01,25544.273
2024-06-27,2024-06-27,2022-07-01,25994.639
2024-06-27,2024-06-27,2022-10-01,26408.405
2024-06-27,2024-06-27,2023-01-01,26813.601
2024-06-27,2024-06-27,2023-04-01,27063.012
2024-06-27,2024-06-27,2023-07-01,27610.128
2024-06-27,2024-06-27,2023-10-01,27956.998
